# Engine name: A-4 Rocket engine
# Sat Nov 30 12:15:11 2024
#
Ratio, O/F	pc, psi	Nozzle inlet, Ac/At	Nozzle exit	rho, kg/m³	Tc, K	M	gamma	k	c*, m/s	Is opt, s	Is vac, s	Cf opt	Cf vac	c.factor
0.0500	420.0000		101352.9322	795.6469	810.3698	21.9289	1.1750	1.1411	869.9877	131.9849	147.5995	1.4878	1.6638	0.0000
0.1000	420.0000		101352.9322	805.2026	902.0847	20.9772	1.1946	1.1336	940.8796	143.1786	160.4174	1.4923	1.6720	0.0000
0.1500	420.0000		101352.9322	814.1301	966.0300	20.0734	1.2145	1.1298	996.7738	151.9510	170.3973	1.4950	1.6764	0.0000
0.2000	420.0000		101352.9322	822.4893	1013.9712	19.2797	1.2325	1.1285	1042.6959	159.1725	178.6142	1.4970	1.6799	0.0000
0.2500	420.0000		101352.9322	830.3328	1052.0608	18.5955	1.2478	1.1291	1081.5154	165.2708	185.5572	1.4986	1.6825	0.0000
0.3000	420.0000		101352.9322	837.7070	1083.7400	18.0059	1.2604	1.1310	1115.0833	170.5154	191.5210	1.4996	1.6843	0.0000
0.3500	420.0000		101352.9322	844.6526	1111.0622	17.4950	1.2703	1.1337	1144.6439	175.0959	196.7134	1.5001	1.6853	0.0000
0.4000	420.0000		101352.9322	851.2061	1135.3302	17.0496	1.2777	1.1371	1171.0605	179.1512	201.2906	1.5002	1.6856	0.0000
0.4500	420.0000		101352.9322	857.3997	1157.4189	16.6587	1.2829	1.1409	1194.9532	182.7849	205.3721	1.5001	1.6854	0.0000
0.5000	420.0000		101352.9322	863.2622	1177.9477	16.3134	1.2862	1.1452	1216.7977	186.0755	209.0497	1.4997	1.6848	0.0000
0.5500	420.0000		101352.9322	868.8196	1210.4693	15.9617	1.2946	1.1773	1235.5399	189.2138	212.4993	1.5018	1.6866	0.0000
0.6000	420.0000		101352.9322	874.0950	1251.2867	15.6915	1.2811	1.1920	1262.1525	192.4363	215.9291	1.4952	1.6777	0.0000
0.6500	420.0000		101352.9322	879.1094	1313.7717	15.5597	1.2657	1.2202	1289.9623	195.9399	219.5130	1.4896	1.6688	0.0000
0.7000	420.0000		101352.9322	883.8817	1430.7815	15.7195	1.2712	1.2624	1322.8467	200.1330	223.5950	1.4836	1.6576	0.0000
0.7500	420.0000		101352.9322	888.4290	1592.8673	16.1299	1.2693	1.2684	1370.2576	205.3833	228.6277	1.4699	1.6362	0.0000
0.8000	420.0000		101352.9322	892.7668	1757.5489	16.5853	1.2617	1.2615	1421.1669	211.3139	234.4238	1.4582	1.6176	0.0000
0.8500	420.0000		101352.9322	896.9093	1916.7186	17.0446	1.2535	1.2534	1466.9840	217.4737	240.5779	1.4538	1.6082	0.0000
0.9000	420.0000		101352.9322	900.8694	2069.6163	17.5034	1.2452	1.2451	1507.5682	223.4498	246.9257	1.4535	1.6062	0.0000
0.9500	420.0000		101352.9322	904.6588	2215.9466	17.9602	1.2365	1.2363	1543.5461	228.9345	253.0265	1.4545	1.6076	0.0000
1.0000	420.0000		101352.9322	908.2885	2355.2605	18.4132	1.2275	1.2271	1575.4787	233.8776	258.6048	1.4558	1.6097	0.0000
1.0500	420.0000		101352.9322	911.7682	2486.9155	18.8605	1.2182	1.2173	1603.8253	238.3216	263.6640	1.4572	1.6122	0.0000
1.1000	420.0000		101352.9322	915.1071	2610.1381	19.2998	1.2085	1.2070	1628.8667	242.3114	268.2466	1.4588	1.6150	0.0000
1.1500	420.0000		101352.9322	918.3136	2724.1147	19.7283	1.1989	1.1964	1650.8303	245.8849	272.3919	1.4607	1.6181	0.0000
1.2000	420.0000		101352.9322	921.3953	2828.0773	20.1436	1.1897	1.1858	1669.8456	249.0723	276.1332	1.4627	1.6217	0.0000
1.2500	420.0000		101352.9322	924.3595	2921.3745	20.5430	1.1811	1.1755	1685.9835	251.8969	279.4976	1.4652	1.6257	0.0000
1.3000	420.0000		101352.9322	927.2126	3003.5464	20.9244	1.1736	1.1658	1699.2784	254.3761	282.5064	1.4680	1.6304	0.0000
1.3500	420.0000		101352.9322	929.9610	3074.4223	21.2858	1.1676	1.1569	1709.7522	256.5215	285.1754	1.4713	1.6357	0.0000
1.4000	420.0000		101352.9322	932.6101	3134.2241	21.6260	1.1633	1.1491	1717.4509	258.3406	287.5153	1.4751	1.6417	0.0000
1.4500	420.0000		101352.9322	935.1654	3183.6112	21.9448	1.1608	1.1426	1722.4782	259.8371	289.5319	1.4793	1.6484	0.0000
1.5000	420.0000		101352.9322	937.6316	3223.6150	22.2429	1.1598	1.1374	1725.0968	261.0133	291.2269	1.4838	1.6555	0.0000
1.5500	420.0000		101352.9322	940.0134	3255.4823	22.5216	1.1600	1.1333	1725.6080	261.8718	292.5976	1.4882	1.6628	0.0000
1.6000	420.0000		101352.9322	942.3150	3280.4997	22.7829	1.1610	1.1302	1724.3937	262.4181	293.6375	1.4924	1.6699	0.0000
1.6500	420.0000		101352.9322	944.5405	3299.8623	23.0285	1.1623	1.1278	1721.8303	262.6636	294.3368	1.4960	1.6764	0.0000
1.7000	420.0000		101352.9322	946.6935	3314.6071	23.2604	1.1638	1.1260	1718.2471	262.6303	294.6878	1.4989	1.6819	0.0000
1.7500	420.0000		101352.9322	948.7775	3325.5953	23.4801	1.1651	1.1247	1713.9112	262.3541	294.6978	1.5011	1.6862	0.0000
1.8000	420.0000		101352.9322	950.7957	3333.5250	23.6890	1.1663	1.1236	1709.0300	261.8820	294.4046	1.5027	1.6893	0.0000
1.8500	420.0000		101352.9322	952.7514	3338.9545	23.8883	1.1671	1.1229	1703.7600	261.2630	293.8708	1.5038	1.6915	0.0000
1.9000	420.0000		101352.9322	954.6472	3342.3283	24.0790	1.1677	1.1223	1698.2186	260.5393	293.1620	1.5045	1.6929	0.0000
1.9500	420.0000		101352.9322	956.4859	3344.0004	24.2620	1.1681	1.1219	1692.4927	259.7429	292.3318	1.5050	1.6938	0.0000
2.0000	420.0000		101352.9322	958.2701	3344.2537	24.4378	1.1683	1.1215	1686.6474	258.8971	291.4191	1.5053	1.6944	0.0000
2.0500	420.0000		101352.9322	960.0022	3343.3153	24.6072	1.1683	1.1213	1680.7309	258.0180	290.4505	1.5055	1.6947	0.0000
2.1000	420.0000		101352.9322	961.6843	3341.3690	24.7705	1.1681	1.1211	1674.7794	257.1173	289.4446	1.5055	1.6948	0.0000
2.1500	420.0000		101352.9322	963.3187	3338.5641	24.9283	1.1678	1.1210	1668.8201	256.2031	288.4142	1.5056	1.6948	0.0000
2.2000	420.0000		101352.9322	964.9073	3335.0231	25.0809	1.1674	1.1210	1662.8731	255.2813	287.3682	1.5055	1.6947	0.0000
2.2500	420.0000		101352.9322	966.4520	3330.8472	25.2286	1.1669	1.1210	1656.9537	254.3563	286.3130	1.5054	1.6945	0.0000
2.3000	420.0000		101352.9322	967.9547	3326.1204	25.3718	1.1663	1.1210	1651.0731	253.4309	285.2531	1.5053	1.6943	0.0000
2.3500	420.0000		101352.9322	969.4170	3320.9127	25.5105	1.1657	1.1210	1645.2398	252.5077	284.1918	1.5051	1.6940	0.0000
2.4000	420.0000		101352.9322	970.8405	3315.2833	25.6452	1.1651	1.1211	1639.4596	251.5881	283.1314	1.5049	1.6936	0.0000
2.4500	420.0000		101352.9322	972.2267	3309.2821	25.7760	1.1644	1.1212	1633.7370	250.6734	282.0738	1.5047	1.6932	0.0000
2.5000	420.0000		101352.9322	973.5771	3302.9517	25.9030	1.1637	1.1214	1628.0748	249.7643	281.0200	1.5044	1.6927	0.0000
2.5500	420.0000		101352.9322	974.8931	3296.3282	26.0265	1.1630	1.1215	1622.4751	248.8616	279.9709	1.5042	1.6922	0.0000
2.6000	420.0000		101352.9322	976.1759	3289.4430	26.1466	1.1623	1.1217	1616.9387	247.9655	278.9272	1.5039	1.6917	0.0000
2.6500	420.0000		101352.9322	977.4269	3282.3229	26.2634	1.1616	1.1219	1611.4661	247.0764	277.8891	1.5036	1.6911	0.0000
2.7000	420.0000		101352.9322	978.6471	3274.9913	26.3770	1.1609	1.1221	1606.0573	246.1942	276.8570	1.5033	1.6905	0.0000
2.7500	420.0000		101352.9322	979.8377	3267.4685	26.4877	1.1602	1.1223	1600.7117	245.3191	275.8309	1.5029	1.6899	0.0000
2.8000	420.0000		101352.9322	980.9998	3259.7721	26.5954	1.1595	1.1226	1595.4285	244.4510	274.8109	1.5026	1.6892	0.0000
2.8500	420.0000		101352.9322	982.1343	3251.9179	26.7004	1.1588	1.1228	1590.2068	243.5898	273.7969	1.5022	1.6885	0.0000
2.9000	420.0000		101352.9322	983.2423	3243.9193	26.8026	1.1582	1.1231	1585.0452	242.7355	272.7888	1.5018	1.6877	0.0000
2.9500	420.0000		101352.9322	984.3246	3235.7885	26.9022	1.1576	1.1234	1579.9425	241.8878	271.7866	1.5014	1.6870	0.0000
3.0000	420.0000		101352.9322	985.3822	3227.5362	26.9993	1.1570	1.1237	1574.8972	241.0465	270.7902	1.5010	1.6862	0.0000
3.0500	420.0000		101352.9322	986.4158	3219.1718	27.0939	1.1564	1.1240	1569.9077	240.2116	269.7994	1.5005	1.6853	0.0000
3.1000	420.0000		101352.9322	987.4263	3210.7037	27.1862	1.1559	1.1244	1564.9726	239.3828	268.8141	1.5001	1.6845	0.0000
3.1500	420.0000		101352.9322	988.4145	3202.1395	27.2762	1.1553	1.1247	1560.0902	238.5600	267.8341	1.4996	1.6836	0.0000
3.2000	420.0000		101352.9322	989.3810	3193.4859	27.3639	1.1548	1.1251	1555.2589	237.7430	266.8595	1.4991	1.6827	0.0000
3.2500	420.0000		101352.9322	990.3267	3184.7490	27.4495	1.1544	1.1255	1550.4770	236.9315	265.8900	1.4986	1.6817	0.0000
3.3000	420.0000		101352.9322	991.2521	3175.9342	27.5330	1.1540	1.1259	1545.7431	236.1254	264.9256	1.4980	1.6808	0.0000
