# Engine name: Nescius Block 0
# Thu Nov 28 22:32:10 2024
#
Ratio, O/F	pc, psi	Nozzle inlet, Ac/At	Nozzle exit	rho, kg/m³	Tc, K	M	gamma	k	c*, m/s	Is opt, s	Is vac, s	Cf opt	Cf vac	c.factor
1.1500	420.0000	13.0000	101352.9322	918.3136	2724.1147	19.7283	1.1989	1.1964	1608.2440	232.8333	259.3501	1.4198	1.5814	0.9522
1.2000	420.0000	13.0000	101352.9322	921.3953	2828.0773	20.1436	1.1897	1.1858	1627.6824	235.9839	263.0548	1.4218	1.5849	0.9527
1.2500	420.0000	13.0000	101352.9322	924.3595	2921.3745	20.5430	1.1811	1.1755	1644.0643	238.7492	266.3599	1.4241	1.5888	0.9531
1.3000	420.0000	13.0000	101352.9322	927.2126	3003.5464	20.9244	1.1736	1.1658	1657.6057	241.1745	269.3149	1.4268	1.5933	0.9534
1.3500	420.0000	13.0000	101352.9322	929.9610	3074.4223	21.2858	1.1676	1.1569	1668.2018	243.2503	271.9144	1.4300	1.5985	0.9536
1.4000	420.0000	13.0000	101352.9322	932.6101	3134.2241	21.6260	1.1633	1.1491	1675.8865	244.9815	274.1664	1.4335	1.6043	0.9537
1.4500	420.0000	13.0000	101352.9322	935.1654	3183.6112	21.9448	1.1608	1.1426	1680.9110	246.3936	276.0988	1.4375	1.6108	0.9537
1.5000	420.0000	13.0000	101352.9322	937.6316	3223.6150	22.2429	1.1598	1.1374	1683.4540	247.4825	277.7065	1.4417	1.6177	0.9537
1.5500	420.0000	13.0000	101352.9322	940.0134	3255.4823	22.5216	1.1600	1.1333	1683.8776	248.2574	278.9935	1.4458	1.6248	0.9536
1.6000	420.0000	13.0000	101352.9322	942.3150	3280.4997	22.7829	1.1610	1.1302	1682.5231	248.7187	279.9484	1.4497	1.6317	0.9535
1.6500	420.0000	13.0000	101352.9322	944.5405	3299.8623	23.0285	1.1623	1.1278	1679.5427	248.8432	280.5265	1.4530	1.6380	0.9532
1.7000	420.0000	13.0000	101352.9322	946.6935	3314.6071	23.2604	1.1638	1.1260	1675.1571	248.6365	280.7038	1.4556	1.6433	0.9526
1.7500	420.0000	13.0000	101352.9322	948.7775	3325.5953	23.4801	1.1651	1.1247	1669.7501	248.1554	280.5085	1.4574	1.6475	0.9520
1.8000	420.0000	13.0000	101352.9322	950.7957	3333.5250	23.6890	1.1663	1.1236	1663.3377	247.4139	279.9456	1.4587	1.6505	0.9510
1.8500	420.0000	13.0000	101352.9322	952.7514	3338.9545	23.8883	1.1671	1.1229	1655.6604	246.3886	279.0052	1.4594	1.6526	0.9495
1.9000	420.0000	13.0000	101352.9322	954.6472	3342.3283	24.0790	1.1677	1.1223	1647.4650	245.2247	277.8561	1.4597	1.6540	0.9479
1.9500	420.0000	13.0000	101352.9322	956.4859	3344.0004	24.2620	1.1681	1.1219	1640.0500	244.1566	276.7540	1.4599	1.6548	0.9468
2.0000	420.0000	13.0000	101352.9322	958.2701	3344.2537	24.4378	1.1683	1.1215	1633.3607	243.1856	275.7160	1.4601	1.6554	0.9462
2.0500	420.0000	13.0000	101352.9322	960.0022	3343.3153	24.6072	1.1683	1.1213	1626.9944	242.2508	274.6917	1.4602	1.6557	0.9459
2.1000	420.0000	13.0000	101352.9322	961.6843	3341.3690	24.7705	1.1681	1.1211	1620.7595	241.3246	273.6602	1.4602	1.6558	0.9456
2.1500	420.0000	13.0000	101352.9322	963.3187	3338.5641	24.9283	1.1678	1.1210	1614.6896	240.4155	272.6349	1.4601	1.6558	0.9454
2.2000	420.0000	13.0000	101352.9322	964.9073	3335.0231	25.0809	1.1674	1.1210	1608.6777	239.5076	271.6028	1.4601	1.6557	0.9452
